ReviewID,Review Rating,Reviews
11,5 star rating,"Fantastic food here, sort of a mix between classic Chinese/American, authentic Chinese and gourmet Chinese. The soup dumplings here seem to have a thicker skin than some of the others I've had all over Chinatown. They seem to hold a lot more soup because of it and I consider them to be the best soup dumplings in Chinatown. I also can't say enough for their spicy, Szechuan wontons. They are delicious. The spicy sauce isn't truly authentic Szechuan but it's very spicy and full of flavor. I also think you have to try their Lo Mein dishes before leaving here. The noodles are thick and chewy and melt in your mouth. I will be visiting this place over and over when I am looking for something a little less starchy than Wo-Hop and a little more authentic."
12,4 star rating,"These sheng jian baos thoooooo = must get! They're only pan fried and crispy at the bottom, but the sides are so darn fluffy and the meat inside was piping hot and juicy delicious! I almost enjoyed these more than the soup dumplings themselves during this meal :oSoup Dumplings: I used to think these were the best soup dumplings, until Queens happened ahaha. But these are definitely in the Top 10, and the second best on the same block (Noodle Village takes the top in this area). Thin ass skin, but needs a little more soup for my tastes.Noodle Soup with Pork Chop: only bad thing is that this broth is just. so. bland. Noodles aren't the kind that I'm accustomed to so I didn't enjoy it as much. It's more starchy? Different taste, that's for sure. Pork chop was too dry. Pork and Bean Curd Soup: can't remember the exact name of the soup ordered but I just love soups and this one was really flavorful and hit the spot."
13,4 star rating,"We came here during the evening amidst all the corona virus talks that is spreading like wildfire in NYC. The place could not be any more vibrant and clean. The virus did not deter locals and new customers from coming to this establishment. With that being said, I am a huge fan of soup dumplings which is what gravitated me to coming here. The soup dumpling skin is quite thin but firm, so do not fret about it breaking! The soup was deliciously rich and not too salty. The pork/crab meat was not quite memorable. We also ordered the black truffle soup dumplings thinking it might somewhat resemble what we experienced at Din Tai Fung. The truffle was faint and honestly disappointing for what we paid for. I would avoid this dish if you are expecting Din Tai Fung quality.Give the soup dumplings a try. If that is not your cup of tea, there are over 50 other items on the menu ranging from authentic Shangainese dishes to regular traditional Chinese dishes."
14,4 star rating,"Excellent! I ordered delivery one night and it was so good. I had the Shanghai lo mein with chicken (it was full of flavor with a good mixture of veggies and chicken mixed into it), an order of their shrimp dumplings (juicy and delish) and scallion pancakes (yummy). Great portions too-plenty of leftover for one.I will have to stop by sometime for the full dine in experience!"
15,3 star rating,"I've been here a couple years back and decided to come here again recently. I feel like soup dumplings in the past were better made than the ones now. Came here around 5pm on a Sunday. The wait was about 15 -20 minutes.I decided to order pan fried noodles, pork dumplings and shrimp dumpling. The pan fried noodles was okay. It was a little too oily though. Large portion. The soup dumplings were ehhhh. What I didn't like about the experience was how the skin of the Soup Dumplings kept breaking when I tried to pick it up. It happened to all of them. In the past, the skin was thicker so it didn't break as easily. Since the skin broke, I didn't really have the ""real way of eating soup dumpling"" experience. Even though the skin broke, there were still some soup in the dumplings. Very flavorful and good. The soy sauce flavor was very strong. You don't need to add a lot of it to your food.Note: They only take cash or American Express."
16,2 star rating,"Got takeout from this place last night. My Shanghai style fried rice was very bland, reminded me of Panda Express. The rice was not even fried. It was basically white rice with some chicken, shrimp and vegetables. Our sweet and sour chicken had very little chicken in it. And the green peppers were uncooked. The soup dumplings were just ok. I've had better in Shanghai!. I would not try this place again."
17,5 star rating,"Despite of the pandemic outdoor eating, they have the best Xiao Long Bao in the city. So glad the quality is back. But it would be perfect if they don't use plastic containers for hot food."
18,4 star rating,"Such an amazing spot in china town! Comparable to the places I've been to in the Bay Area. We came on a Saturday around 1:30pm and there was still such a long line. It took around 40 minutes to get seated. The Pork XLB was SO GOOD, $6.25 for 6!! Juicy, thin skin, and the soup was so rich. Crab and pork XLB, $8.75 for 6. Not as good, a little fishy. Red oil wontons, $6.25 super spicy but so freakin' yummy. The oil adds such a nice touch Fried pork buns, $6.75 for 6. A little too doughy but overall good flavor. Very affordable, you can spend under $30 per person and be full here. I haven't had anything that topped this place in NYC! Must try."
19,4 star rating,"Very decent chinese restaurant in Chinatown! My friend and I got stirred fried water spinach with garlic ($13.50) and pepper steak ($17.50) to share along with two bowls of rice. The food came out pretty fast and both dishes were delicious. The pepper steak was so saucy and loaded with lots of veggies. It was just the right amount of sweet and savory flavor blended together! The meat was also soft and juicy that two of us finished everything. I know this place is known for their XLB too, so I would definitely want to come back here and try it. But honestly I might get the pepper steak dish again because it was so yummy. This is a cash only place and you probably have to wait in line on weekends, but it's worth it! They have several round tables, so it would also be fitting for big groups!"
20,5 star rating,"We came here on a Friday at around 2pm and there was about a 20 minute wait for 2- and it was definitely worth it. This place is awesome!We started with the pork soup dumplings and black truffle soup dumplings, both of which were amazing. Every bite was bursting with flavor (literally). While the black truffle was delicious, I don't think it was worth twice the cost of the regular pork soup dumplings, so I probably would just go with regular pork next time.The shanghai spring rolls were very good, as was the kung pao chicken and the pork fried rice. The serving sizes are generous, so come home hungry! Cash or Amex only."
21,4 star rating,"Even in Covid they deliver service, quality, and restrooms!Friendly helpful wait staff, friendly management, and clean restrooms you are welcome to use!There are some restaurants that can learn from them in courtesy, friendliness, and customer service! To them the spoils of first time customers who like learning the hard way but for me, if a place disses me or I don't feel treated like a paying customer with decency and gratitude there are plenty of other businesses for me to take my money to and tell others about.You are fortunate if you are reading this for this is one place I recommend for Chinese food during Covid. the prices are decent, portions are fair or ample depending on the dish.We had Shrimp and Chicken in Hoisen Sauce (I enjoyed it and had lots of mushrooms - not quite my fav); and Beef pan fried noodles (very crispy and mixed chinese vegetables. Slightly bland but okay for those on low sodium diet). Thai Iced tea was good.They do not serve cups of water. You must purchase their bottled water or bring your own.Service is on thick cardboard paper plates and brought to you in take out containers instead of on plates. Chop sticks are wrapped in pairs in sealed plastic, and forks and spoons are standard cheap plastic. Not an image for a first date you seek to impress but what would you expect in NYC during covid and in a community that is hyper cautious in preventing spread and contagion.Round grilled picnic tables.Composite clean raised flooring so you are not on the street nor have to look at or think about it.Bordered on street with wall of live bushes in raised planters (bottom is wooden wall).Each seating area separated by plexiglass divider to prevent spread from other table section.Handicap accessible.Bon Appetite,Carson"
22,5 star rating,"Great food. Clean, efficient and employees care about what they do. With the weather getting cooler, I hope they install a warming apparatus to accommodate outdoor dining. Will be dining at Shanghai 21 within next two weeks."
23,4 star rating,I wanted to try Soup Dumplings so looked for a place that served them in Chinatown. When I got there around 1 pm I had to wait about 10 minutes. I ordered Soup Dumplings with crab meat and pork. There were six of them. I ate the first one and the soup was hot and it was delicious. After a few of them the soup was getting colder. I prefer hot. I also ordered Beef with Tofu from Over Rice sexton. I expected a different dish but it was still good.
24,4 star rating,"Cash only! Not as busy as Joe's Shanghai and it's a more intimate setting. Your party will have their own table, if that's something that bothers you about Joe's Shanghai. I came here to also try their pork soup dumplings and I was impressed! You get 6 pieces and each one was filled with delicious soup. While Joe's is thicker and more savory, Shanghai Cafe's soup dumplings have a lighter, cleaner broth. DO NOT just bite into the soup dumplings. You gotta drink the soup first, it's all part of the experience. We also got to try their Pan Fried spork Dumplings, which came with 6 pieces. Not bad but they didn't stand out as much as the soup dumplings. You get more for your money at Joe's Shanghai but Shanghai Cafe's soup dumplings are up to par!"
25,4 star rating,"This place always seems to be busy. We came here and found out that there was a pretty long wait, so we skipped. Fast forward a month later, we came back and found out the wait was only 15 mins or so, so we waited.This restaurant is located at the corner of Mott st and Mosco st, in Chinatown. I saw the Yelp reviews and they were plentiful and for the most part pretty good.We ordered a good amount of food, so I feel like I got a good sampling. We shared the kung pao chicken, beef pan fried noodles, pan fried dumplings, and the soup dumplings.I actually like both dumplings, slightly preferring the pan fried over the soup dumplings. The portion sizes of the kung pao and pan fried noodles were on the large side. It was actually quite a bit of food. Everything I tried that day was very good."
26,4 star rating,"I ordered the Buddha's delight via Seamless as it seemed like a safe bet as far as being vegetarian. The tofu &amp; vegetables in the dish were all perfectly cooked, and the rice that accompanied the dish was fluffy and plentiful. I would prefer the dish to be a little bit more flavorful, it was mainly just soy sauce &amp; sodium. That being said, if you're a vegetarian looking to satisfy a craving for Chinese, I would say that the dish will have you covered."
27,5 star rating,"DUMPLINGS!  Delicious.  Delectable.  Delightful.  Dangerous... because once you order them, you can't stop.  I think this is a great contender to the infamous soup dumplings from Joe's Shanghai.  In fact, I think I would be as so bold to say-and bold I righteously am-that they are better here at Shanghai 21!  YES!!!The broth is packed with flavour and the quality of the dumpling itself, from the dainty wrapper to the filling inside, is impeccable.  Yeah, we're using big words here because I really do think it's that amazing.  I've had both the crab meat &amp; pork dumplings and the black truffle dumplings and enjoyed both.  Tremendously.  The black truffle dumplings have a slight truffle flavour and isn't too overpowering, just enough to let you know that it's there. The other dumplings that deserve some recognition here, which are not of the soup variety, are the shrimp dumplings (ha cao).  OMG.  The best I've ever had, even better than any dim sum place could serve.  They are HUGE and look so perfect sitting in the basket.  The wrapper is translucent enough so that you can see the pink flesh of the shrimp.  Perfectly plump.  Make sure to drizzle some of the sauce they give you because it elevates the flavour to another dimension... sublime.  Chef's Kiss to this dumpling because I think it might be the item I would choose to eat before my last moments on this Earth. Worth the wait if you come here and it's packed!!!"
28,5 star rating,"I'm obsessed with this place. My friend and I went for dinner, and the wait wasn't terrible. However, be careful because during dinner time the list can get kind of annoying, so just be sure to come on the earlier side. This restaurant is super accessible by train, and it's in a very bustling area of Chinatown which is nice if you want dessert or just to walk around after eating. Service is super fast and efficient too. The portions are super generous and the food was super affordable, and my friend and I barely finished everything.FOOD:Xiao long bao (5/5) - These soup dumplings were divine. I recommend getting one order of the original pork ones just to get a taste of a classic done right. The dumpling wraps were clearly handmade and very thin, perfect for soup dumplings. Truffle Xiao long bao (5/5) - Oh my god. You HAVE to get these soup dumplings. I've had the Din Tai Fung truffle xiao long bao, and this dish blew that one out of the water. These are probably the best soup dumplings I've ever had. Enoki mushrooms and watercress (5/5) - This was a super unique dish. The sauce on the enoki mushrooms was the perfect amount of savory and the combo of greens and mushrooms was delicious. Shanghai rice cakes (4.5/5) - This was the least impressive dish of the bunch but was still delicious. It's a classic Shanghainese plate, and was very good. The sauce was a little unevenly coated on the cakes but the rice cakes were chewy and cooked to perfection."
29,4 star rating,"Shanghai 21 was surprisingly very good! When we got there, we told the man a table for 2 and he said it would be a 20 minute wait so we waited outside but they called my name after 5 minutes! We were seated and after a few minutes no one had come to us and I noticed that others just had to flag down the hostess and servers. The manager saw me and told a server to come to our table. We ordered our food and it came out quickly. We ordered the crab and pork soup dumplings, scallion pancakes, plain steamed buns (it came with evaporated milk - yum!), pan-fried potstickers, sesame chicken over rice, and low mein with pork and shrimp. It was all so good! The sauce for the sesame chicken was great and I wish I took the leftover sauce to go! It was so good. The prices were great considering it's in NYC. My boyfriend and I are definitely coming back here. Service: 3.5 stars since we had to flag them down but food came out really quick!Food: 5 stars!"
30,5 star rating,"After coming here multiple times and pretty much ordering the same dish at each visit, I decided it was high time to write a review for it. To start off, this place is usually packed, expect a long wait or come at odd times - it is worth it. The waiters are very friendly and won't rush you to order. The dishes we get every time are the xiao long bao, wonton szechuan style, cold sliced pork leg, hot and sour soup, crispy fried salt and pepper squid, and crispy seafood noodle. My personal favorite is the sliced pork leg. I've only had this particular delicacy once in my childhood at Foxwoods and since then I had been on a quest to find them. Imagine my surprise when I finally found them at this place. They are sliced very thin and served cold with a mildly spicy and sour sauce. The gelatinous fat and tender meat are a match made in heaven. I would recommend this place to anyone looking for their Shanghainese fix - it definitely gives Joe's Shanghai a run for their money!"
31,4 star rating,"we were so excited to try this spotwe got some of the soup dumplings beef and broccoli and black pepper fish to goeverything was very flavorfuland cooked perfectlyeven to-go, the food was piping hotand delicious"
32,4 star rating,"This is the spot for the best Shanghai food in Chinatown. Always hot green tea waiting on the table. The food is delicious. The meat pie is pretty good, same with some of the chow mein dishes. I will be going back regularly."
33,5 star rating,"Favorite spot for soup dumplings, very clean tasting nothing too fatty when it comes to the broth. And best noodles with meat sauce."
34,5 star rating,"Let's call this a Dumpling Daze. I devoured the pork soup dumplings, the black truffle soup dumplings, and the shrimp dumplings in under six minutes. Sat next to the playground nearby and have no idea who was around me and what the kids did and what day it was and if the sun was shining but OH YOU CAN BET I know how great these dumplings were as I soared through a world of luxurious, rich, fresh flavors that need no soy sauce, no ginger, no nothing. Just perfect as they are. The founder of the dumplings-themed Instagram DumplingGang recommended this place to me and, well, she's a pro who knows her dumplings. I'll be raving about these from here on out. Cannot wait to come back for a straight-up dim sum meal.5 stars!!!!!!!"
35,5 star rating,One of my favorite dim sum experiences besides China...It was between this and another super popular place but I was glad a came here.  I came in with one other person on a weekday and was seated immediately.  Our waiter gave some great recommendations and even helped answer some questions.  They menu was pretty extensive and had a lot of options.  They even had a Specials menu for the day which we also got some items from.  We ended up getting quite a few things but one of my favorites included their Szechuan Style Spicy Wontons and their Black Truffle Soup Dumplings.  Both were so good I am unsure which I prefer more.  I highly recommend both.  You must try them!!!  The Szechuan Style dumplings are great if you love spicy and a little sweet.  The sauce it came in was so good the person I came with would use the other dumplings with it.  The black truffle soup dumplings had the strong smell of truffles which I loved and tasted full of it.  Yummy!  We ordered their pickled cucumbers off the daily special which went great with everything.The service was excellent.  Our server was nice and took care of us.  The food came fast and the restaurant even takes AmEx!!!  I was so glad we came here and recommend it.  You will not disappointed if you love dim sum.
36,2 star rating,"We ordered soup dumplings and an order of bean curds with black mushrooms with extra chicken for takeout. The soup dumplings were great, same as when we dined in frequently before covid19. However, after leaving the premise to eat the food, we discovered that we were given a dish of bok choy with shitake mushrooms with an extra topping of chicken instead of the dish I ordered. It's fine that it was probably honest mistake. But the chicken tasted bad like it was added as an afterthought. I didn't like the shitake mushrooms or the bok choy. The sauce wasn't good either. I'm disappointed that I got a wrong order with takeout. Too bad we were far off from the restaurant to let them know."
37,4 star rating,"Yum!!! Best soup dumpling I've had in Chinatown! This is definitely the place to go if you're not feeling a trek to flushings! The soup dumplings are larger than normal sized, so don't be alarmed that the servings come in 6 rather than 8 at some places. Each dumpling is packed with so much soup! And the dumpling skin is the perfect thinness, not too chewy and doughy at all. I truly enjoyed the pork soup dumplings. We also ordered the crab meat soup dumplings and those come with a ball of crabmeat at the center of a pork soup dumpling! Yum! I wouldn't order anything but the soup dumplings here though. The Kao fu we ordered was drenched in soy sauce and SO SALTY, and the wood ear lacked fresh crunch (kinda smooshy) Service was quick, they even let us switch to a table near the outlets for phone charging purposes! Only had to wait Less than 10 min on a Saturday prime lunch time. 5 stars for soup dumpling, 3 stars for other foods."
38,4 star rating,"Come here for the dumplings and then order all the dumplings. My dad, husband and I came here on a Thursday night after a holiday party, and were immediately seated. We tried two varieties of dumplings: Soup Dumpling with Pork and the Black Truffle Soup Dumpling with Pork. Both were fantastic - thin skin, flavorful broth and a tasty ball of pork. I would recommend the black truffle only if you really like the taste of truffle. For mains we shared the braised boar hock with baby bok choy, and the Shanghai style lo main with beef. Both were excellent. The braised boar hock is pretty fatty and filling, and I'd only recommend to more ""open"" eaters. Pro Tips:- Come for the dumplings. Order all the dumplings. - Good for groups and walk-ins"
39,4 star rating,"Came back two years after the first time I visited, and still really like this place, IMO one of the best restaurants in Chinatown. No frills, brisk service, and they only take cash or Amex."
40,5 star rating,Black truffle xiao long bao is my go-to menu along with golden enoki mushroom. It just taste sooooo good!
41,5 star rating,You know how you strive to find the perfect soup dumpling? The one with the perfect amount of soup and filling? This is it! The Crap and Pork Soup Dumpling is perfection. The soup itself is flavorful the filling is just right and once popped in your mouth you realize all your dumpling dreams have come true. At around 8 dollars it was definitely worth the price. The complimentary hot tea is nice as well especially in this cold weather. There may be a wait being a smaller restaurant but I think it's worth it!
42,4 star rating,"This is my third (or perhaps fourth) time here, however first time reviewing this spot. Came with my mom on Wednesday at 7pm. Restaurant was pretty full, but the staff managed to sat us down for a meal. We ordered four dishes: fried squid, crab soup dumplings, bamboo shoots, and preserved cabbage and shredded meat noodles. Total bill came about $36 tax and tip not included. Not a bad deal for 2 people.PROS:Bamboo shoots were out of the world! As a classic Shanghainese dish, they did not fail to impress here! The sauce was very mild, and the shoots themselves very soft and tender. You can tell it was marinated for quite a long time. Fried squid was crispy, seasoned very well, and tasted very fresh, and the portion sizes were quite big! I really enjoyed that dish alot.Soup dumplings were definitely flavorful! A little bit on the pricier side of things since we were given only 6 dumplings (usually its 8) at $8.25 a basket. However, you can taste the crab roe/meat inside as it adds a lot of flavor to the dumplings, and there was a voluminous amount of soup in each dumplings. Meat was very tender, juicy, and fresh.CONS:Our noodles dish, while portions were big, tasted very bland. Usually in Shanghai you get a TON of preserved cabbage in your noodles, however I felt the ratio was off between noodles and cabbage/meat. Also, the soup tasted a little lackluster in flavor, making the noodles taste a little bland and soggy.OVERALL:Some hits, some misses. Overall was quite impressed with the food served at Shanghai 21. Not the best Shanghainese restaurant around the block, but it sure is a good option to have if you're around the area."
43,5 star rating,"The food here is actually the best. All the servers are nice, and waiting didn't take very long. So many people line up for this place. It's crazy! I recommend the soup dumplings and Sichuan wontons. I will definitely come again."
44,5 star rating,"If We could rate Shanghai 21 more than five stars We would!Great place for date night. Even though it was really crowded and a little noisy, it still felt intimate. We visited on a Friday night around 7:30 pm. The wait time for 2 people was about 35-40 minutes. While waiting, more and more people started coming in and the wait time increased to an hour! We thought to ourselves, if people are willing to wait an hour, the food is definitely worth it and indeed, it was!When we were seated we got a complimentary teapot with Jasmine tea. We ordered the Szechuan Style Wontons, soup dumplings with pork, and the black truffle soup dumplings with pork as our starters.The wontons were a little spicy but very flavorful and delicious. The soup dumplings are indescribable but we will do our best to describe them. Just 1 word, AMAZING!! It was cooked to perfection, the flavorful broth did not drain out of the dumplings. It was like a Shanghainese party in your mouth bursting with flavor lol. They were also VERY reasonably priced. We then ordered a general tso chicken and a side order of Sauteed Baby Shanghai Bai Choy which were both very delicious. We are both dumpling fanatics so we highly recommend this restaurant if you're in Chinatown and want to chow down on some good dumplings."
45,4 star rating,"This place is always quite crowded whenever I pass by, so I've been dissuaded from going. However, today, I had a friend wait in line for me so I didn't need to wait for too long.One thing to note is that this place is not a dim sum place - there aren't carts going around and the interior isn't the most spacious. There are giant magnified pictures of the food on the wall, in case you can't see the food on your own table well enough.We ordered truffle soup dumplings, pork and crab soup dumplings, and rice cake with pork and preserved vegetables. My favorite was definitely the standard pork and crab soup dumplings - they were really flavorful and almost sweet. They were also the first thing I had and I was incredibly hungry. The truffle soup dumplings were a little bit of a letdown - definitely not worth the $13 or so price, and I got tired of them midway through the 2nd one. Not bad to try with a group of friends, but I probably wouldn't get again. The rice cake was delicious, and was a good amount of food, perfect to share with two people! Also a fair price. In the future, I would probably try out the shanghainese noodles, and save some money without the truffle xiao long baos. All in all, a pretty solid experience."
46,4 star rating,"Great Shanghainese place with big portions! Fyi the bowl of rice is HUGE.Been here twice, came out stuffed twice too lol. Here's the rundown!Scallion pancakesCrisp, almost no filling. I would skip this, I've had much better elsewhere.Pork soup dumplings / XLBPretty good! Doesn't have that porky smell/taste if you know what I mean. If I remember correctly, skin is thicker than average but it's ok it protects the yummy juices.Chicken corn soupGood, great when you're starving and can't wait for the mains lol.Chicken or beef stir fried rice cakeSo good!! If you don't have food restrictions, it tastes better with beef. The slices of beef are very tender. The rice cakes are nice and chewy. There's some vegetables also so you can pretend it's healthy ;)Shi jin guo ba (assorted meat potage with sizzling rice)Nice surprise! It comes with squares of crispy rice and they pour the sauce with the goodies on your table. The sauce is orangy and couldn't place my finger on it but this is great!Wu xi spare ribs Soy based tender pork ribs, loved by my picky brother.Watercress and enoki mushroomsYum! A refreshing break from the heavy saucy stuffGarlic eggplantDelicious! Eggplant slices were nice and tender and sauce was flavorful. Be careful as this may burn your mouth!Crispy duckDo not get this. It was dry and hard and surprisingly disappointing given how great the other food were."
47,5 star rating,"Some of the best dumplings I've ever had! Stopped by with some friends and we munched on a bunch of em. We had 2 orders of the black truffle, crabmeat XLB's, pan fried pork dumplings, Cantonese hot and sour soup, Szechuan wonton dumplings. Flavors here are on point and definitely authentic. These dumplings are perfect in size and are delicious. The black truffle was amazing and has some rich flavor. The hot and sour soup is super spicy. The wonton dumplings look super hot, but they definitely were on the mild side. I'll mark this place down as a must visit from now on as the quality of dumplings here are at another level. The restaurant itself is kept pretty clean despite it being in Chinatown. Highly recommend this place if you're craving XLB's or some authentic Shanghainese dishes."
48,4 star rating,"Surprisingly good Xiao Long Bao. ...as for the other stuff we tried, the Taiwanese style porkchop was also pretty good, and the other stuff more in the average category).in fact, i would rate the xaio long bao up there with the best in terms of quality of meat, flavor, juiciness and thin quality wrap.the ONLY place they may fall short of the very best anywhere in appearance, and just slightly thicker at the top of the bun than the elite.they don't quite have that perfect, neat, presentation of the elite buns.but man, if you more concerned with taste, juiciness and quality than perfect presentation, you will not be disappointed with Shanghai 21 !This now makes only 2 ""acceptable"" xaio long bao places I've found in Manhattan (out of around 2 dozen I've sampled on Manhattan island. - the other good place being The Bao in East Village. Expanding out geographically, I like Kung Fu Xaio Long Bao in flushing as my #1 pick, in spite of the awful service (not to be confused with the unrelated Kung Fu Xaio Long Bao in uptown Manhattan, which is not one of my top picks).my overall top few picks for the ny area (including all 3 major NY Chinatowns - flushing, Brooklyn and Manhattan) are as follows:1. Kung Fu in flushing 2. The Bao (east village)3. Tie - Little Dumpling (Little Neck), and Shanghai 21 (Manhattan)4. Nan Xin Xiang Xaio Long Bao (flushing - temporarily closed due to moving).Beyond these, the other NY ones I've tried have more obvious flaws, like thicker wraps, less juice, poor flavor, lower quality meat, such ad with gristle, etc.Many are still good, but just not as good. ...and some are flat out bad.Also note that my xiao long bao rankings ate just that - and not overall restaurant rankings. for example, while i rate the xaio long bao at Kung Fu much above flushing rival Nan Xiang, i would still prefer Nan Xiang if your with a group and after more variety of quality dishes. A good thing about Shanghai 21 is that it is also a good choice for other dishes besides xaio long bao, plus a pleasant interior environment.   however, when choosing, make sure to include the xaio long bao as one of the dishes !"
49,5 star rating,"The truffle soup dumplings are AMAZING, seriously the best soup dumplings I've ever had."
50,5 star rating,"I've been coming here with friends for a couple of years now, and their soup dumplings are consistently good. They don't take reservations and the wait can be long sometimes but the quality is well worth the wait. The service is pretty quick as well.The XLB skin is thin but filled with hot and flavorful filling and soup. It's perfect by itself or with vinegar and ginger which is always served on the side. They also have black truffle XLB which I have not tried yet, but smell sooo good. I also really love the pan fried noodles and the fried pork buns. The buns are super soft and the meat is savory. Like most restaurants in Chinatown, it's cash only but they do accept Amex. Overall, I highly recommend coming here if you've never tried their XLB!"
