id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,Cost percentage per listing,Gross Income from property per listing
172700,"Sunny, cozy room in Lower East Side",302772,Cheryl,Manhattan,Lower East Side,40.71473,-73.98842,Private room,115,3,3,2016-02-15,0.04,2,337,20.95%,90.91
188146,"""The Oasis"" on Bedford Williamsburg",906200,Mariana,Brooklyn,Williamsburg,40.7158,-73.95803,Entire home/apt,350,6,1,2016-01-01,0.02,1,233,20.95%,276.68
194154,Large Room Overlooking Central Park,936830,Elina,Manhattan,Upper West Side,40.7969,-73.96128,Private room,89,6,35,2017-06-18,0.37,1,180,20.95%,70.35
202273,Cozy and spacious - rare for NYC!,918087,Kestrel,Brooklyn,Bedford-Stuyvesant,40.68812,-73.94934,Private room,67,4,72,2016-12-26,0.76,3,0,20.95%,52.96
203901,Beautiful UES apartment,1000477,Elizabeth,Manhattan,Upper East Side,40.7694,-73.9572,Entire home/apt,190,1,8,2016-09-18,0.08,1,0,20.95%,150.2
206957,Bright Modern Charming Housebarge,1018472,Angus,Brooklyn,Sheepshead Bay,40.58422,-73.94079,Entire home/apt,70,4,128,2016-11-15,1.34,2,90,20.95%,55.34
212544,Quiet One Bedroom in Park Slope,1096084,Daniel,Brooklyn,Gowanus,40.67688,-73.9859,Entire home/apt,100,7,9,2016-06-23,0.1,1,0,20.95%,79.05
219482,A Cozy Brooklyn Hideaway,759583,Pepe,Brooklyn,Clinton Hill,40.68275,-73.96148,Entire home/apt,172,4,8,2017-10-14,0.09,2,189,20.95%,135.97
220563,Lovely HUGE Master Bed + Study,918087,Kestrel,Brooklyn,Bedford-Stuyvesant,40.68634,-73.95088,Private room,75,3,59,2017-01-05,0.62,3,0,20.95%,59.29
234870,Private Room With GREAT Location,1229984,John,Queens,Long Island City,40.74581,-73.95295,Private room,75,30,65,2017-07-31,0.74,3,219,20.95%,59.29
243229,2BR  Apt - 20min to Soho,1276497,Alon,Brooklyn,Bedford-Stuyvesant,40.68016,-73.94878,Entire home/apt,280,3,5,2017-07-09,0.05,1,365,20.95%,221.34
246134,"Lovely, Large Room in Crown Heights",283604,Shelley,Brooklyn,Crown Heights,40.67607,-73.94421,Private room,85,3,5,2016-10-02,0.05,1,281,20.95%,67.19
249414,Large & bright 900ft?? 1br in WV,1306587,Andy,Manhattan,West Village,40.73291,-74.00059,Entire home/apt,246,4,6,2017-06-28,0.16,1,0,20.95%,194.46
250536,The Lenox in Harlem,1313306,Yvette,Manhattan,Harlem,40.81068,-73.94288,Private room,125,1,11,2017-09-25,0.12,2,365,20.95%,98.81
257568,Zen Den (Airport Pickup: JFK & LGA),1123923,Adolfo,Brooklyn,Cypress Hills,40.67855,-73.8896,Private room,48,90,53,2017-08-12,0.57,2,1,20.95%,37.94
260451,Fort Greene brownstone 1BR- SUBLET,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97203,Entire home/apt,70,7,4,2017-08-28,0.05,2,0,20.95%,55.34
261674,Chelsea/West Village - 2bdrm apt,1372786,Lindsey,Manhattan,Chelsea,40.74025,-74.00161,Private room,95,5,20,2017-04-01,0.33,1,0,20.95%,75.1
261781,1500+ sq ft 2BR West Village Loft,1359519,Nadya,Manhattan,West Village,40.73378,-74.00429,Entire home/apt,375,7,8,2017-12-30,0.12,1,0,20.95%,296.44
265064,"Zen Eyrie ??""Airport Pick-Up: JFK/LGA",1123923,Adolfo,Brooklyn,Cypress Hills,40.67962,-73.88928,Private room,48,90,17,2017-05-03,0.27,2,0,20.95%,37.94
272706,"SUNNY, SPACIOUS APT. in  FT. GREENE",1402817,Valerie,Brooklyn,Fort Greene,40.69135,-73.97321,Entire home/apt,88,5,7,2017-06-18,0.08,1,0,20.95%,69.56
276216,Nights in White Satin in the Slope,1440691,Dena,Brooklyn,Sunset Park,40.65992,-73.99042,Entire home/apt,127,180,1,2016-09-01,0.03,1,365,20.95%,100.39
277883,Sunny Entire Apt with Romantic Bedroom,950657,Michelle,Brooklyn,Prospect-Lefferts Gardens,40.65689,-73.9533,Entire home/apt,70,6,58,2017-12-29,0.63,1,0,20.95%,55.34
278145,Large Room in a Huge NY apartment.,1452026,Heidi,Queens,Astoria,40.77117,-73.91905,Private room,30,5,3,2017-06-20,0.03,1,0,20.95%,23.72
278876,"Large, furnished room in a 2 bedroom!",368528,Ally,Brooklyn,Crown Heights,40.66984,-73.95141,Private room,64,1,1,2017-03-18,0.04,1,0,20.95%,50.59
282341,Kensington/Ditmas Park pied-a-terre,1471384,Dan,Brooklyn,Kensington,40.6433,-73.97386,Entire home/apt,90,30,3,2017-07-30,0.05,1,286,20.95%,71.15
283272,Stylish Garden House - Trendy area,524730,Oz,Brooklyn,Williamsburg,40.71422,-73.9484,Entire home/apt,100,19,5,2016-08-03,0.06,2,6,20.95%,79.05
287421,"Cozy, Clean Cobble Hill Brownstone",1495141,Keow,Brooklyn,Cobble Hill,40.68538,-74.00056,Entire home/apt,140,3,103,2017-08-01,1.13,1,189,20.95%,110.67
289037,"2BR in Cobble Hill, Brooklyn, NY",632334,Michael,Brooklyn,Carroll Gardens,40.68353,-73.9914,Entire home/apt,189,2,13,2016-09-05,0.18,1,0,20.95%,149.4
289665,Decorators 5-Star Flat West Village,1503831,Elle,Manhattan,West Village,40.72891,-74.00293,Entire home/apt,450,20,157,2016-08-11,1.71,1,0,20.95%,355.73
289703,Beautiful SoHo Luxury Apartment,815741,Geoff,Manhattan,SoHo,40.7253,-73.99916,Entire home/apt,249,5,8,2016-11-26,0.11,1,0,20.95%,196.83
291812,"Entire Apartment in Astoria, 15mins from Manhattan",1509416,Natalia,Queens,Astoria,40.76856,-73.91828,Entire home/apt,70,5,1,2016-08-30,0.03,1,0,20.95%,55.34
294239,NYC Summer Getaway | Full Home 2BR,1521432,Carmen,Queens,Astoria,40.76444,-73.92607,Entire home/apt,192,3,7,2017-04-18,0.08,1,0,20.95%,151.78
296658,Sublet in Brooklyn/Lefferts Gardens,1530106,Glenn,Brooklyn,Crown Heights,40.66469,-73.96091,Private room,44,5,2,2017-09-21,0.09,1,0,20.95%,34.78
298073,"Bright, Airy Williamsburg Apt",1536533,Irina,Brooklyn,Williamsburg,40.71629,-73.95786,Entire home/apt,130,14,23,2016-11-08,0.25,1,25,20.95%,102.77
302758,Sunny 1BR East Harlem Apartment,8605,Dimitry,Manhattan,East Harlem,40.7968,-73.93611,Entire home/apt,150,7,12,2016-03-26,0.14,1,0,20.95%,118.58
320877,Entire 2 Bedroom Apartment in Williamsburg,1366194,Fabiana,Brooklyn,Williamsburg,40.71279,-73.95852,Entire home/apt,225,4,26,2017-06-24,0.73,1,0,20.95%,177.86
324517,Central Park Fifth Av MET Museum,1660724,S,Manhattan,Upper East Side,40.77688,-73.96177,Private room,109,1,66,2017-12-10,0.94,1,353,20.95%,86.16
329064,Your Historic House in Brooklyn,1680375,Marc,Brooklyn,Flatbush,40.63593,-73.96076,Entire home/apt,500,4,9,2017-01-02,0.11,1,0,20.95%,395.25
329310,Creative Director's Chinatown Loft,1681546,Todd,Manhattan,Chinatown,40.71638,-73.99167,Entire home/apt,250,15,9,2016-05-14,0.1,1,190,20.95%,197.63
342965,Super Clean Apt by Columbus Circle,1740233,Gladys,Manhattan,Hell's Kitchen,40.76774,-73.9892,Entire home/apt,350,4,24,2017-09-21,0.27,1,362,20.95%,276.68
344092,"Heavy Sun, Quiet, Arty 1 Bedroom",1745402,Tony,Brooklyn,Sunset Park,40.64372,-74.02066,Entire home/apt,70,18,19,2016-07-13,0.22,1,0,20.95%,55.34
377217,Great apt on the UWS - A RARE FIND!,1895957,Ido,Manhattan,Upper West Side,40.78161,-73.97898,Entire home/apt,145,3,22,2017-04-14,0.25,1,0,20.95%,114.62
386799,Midtown NYC - 1 Bedroom Apartment,1935605,Jon,Manhattan,Midtown,40.76082,-73.97548,Entire home/apt,250,3,116,2016-01-03,1.32,1,0,20.95%,197.63
394111,"Beautiful Bedrooms in Briarwood, NY",1947974,Constance F.,Queens,Briarwood,40.71068,-73.81577,Private room,75,1,16,2017-01-01,0.18,2,189,20.95%,59.29
397420,New York Host who knows The Most,1985717,Darktalia,Manhattan,Harlem,40.82703,-73.94311,Private room,85,3,6,2017-09-05,0.07,1,363,20.95%,67.19
398281,One Block From Central Park!,325790,Michael,Manhattan,Upper East Side,40.78521,-73.95489,Entire home/apt,200,7,30,2016-12-04,0.34,1,224,20.95%,158.1
400039,Big Beautiful Railroad in Brooklyn,1488809,John,Brooklyn,Bushwick,40.70339,-73.92945,Entire home/apt,130,30,53,2017-06-30,0.68,1,0,20.95%,102.77
400466,"Bright Brooklyn Flat w/Park Views, 30 day minimum",1985759,Esther,Brooklyn,Prospect-Lefferts Gardens,40.66009,-73.96237,Entire home/apt,90,30,32,2016-10-11,0.37,1,50,20.95%,71.15
406992,Family friendly Williamsburg Apt for Vacation!,1952186,Erin,Brooklyn,Williamsburg,40.71121,-73.94669,Entire home/apt,145,3,7,2016-10-22,0.08,1,270,20.95%,114.62
409666,"1 bdr apt, sunny & artsy, 4 min walk to the beach",405225,Olga,Brooklyn,Brighton Beach,40.5781,-73.95455,Entire home/apt,75,2,8,2016-09-18,0.1,1,2,20.95%,59.29
415304,Cute east village apartment.,2050328,Martis,Manhattan,East Village,40.73111,-73.98528,Entire home/apt,175,14,1,2016-05-31,0.03,1,0,20.95%,138.34
421554,Garden - Brownstone Experience,2096690,Richard,Brooklyn,Bedford-Stuyvesant,40.68559,-73.93896,Entire home/apt,250,15,37,2016-10-30,0.52,2,54,20.95%,197.63
422040,Gorgeous ! Best Location in NYC !,1090764,Lynda,Manhattan,Upper West Side,40.77995,-73.98342,Private room,99,30,27,2017-08-11,0.31,1,189,20.95%,78.26
424192,luxury 1 BedRoom Apt Hells Kitchen,2108853,Jasen,Manhattan,Hell's Kitchen,40.7559,-73.99469,Entire home/apt,325,30,18,2016-05-21,0.21,1,364,20.95%,256.91
430427,"Very clean, quiet bedroom available",820046,Elaine,Manhattan,Washington Heights,40.83559,-73.94095,Private room,60,2,13,2017-01-31,0.15,1,0,20.95%,47.43
432090,Only 5 Min. to Manhattan!,2148881,Grace,Queens,Long Island City,40.74826,-73.94633,Private room,50,180,69,2016-09-28,0.79,1,0,20.95%,39.53
435776,ROOM AVAILABLE IN NEW YORK CITY,2164452,Robert,Manhattan,Upper East Side,40.77548,-73.95183,Private room,145,5,2,2017-10-03,0.09,1,365,20.95%,114.62
435909,Sunny West Village Dream,2165401,Andrew,Manhattan,West Village,40.73775,-74.00344,Entire home/apt,151,88,19,2016-12-24,0.22,1,249,20.95%,119.37
436916,Room for the Summer,2169825,Serge,Manhattan,Harlem,40.82669,-73.94281,Private room,55,2,7,2016-10-11,0.08,1,0,20.95%,43.48
444171,Upper Duplex in Brooklyn Brownstone,2206506,James,Brooklyn,Bedford-Stuyvesant,40.68813,-73.92817,Entire home/apt,189,7,7,2017-04-17,0.1,2,303,20.95%,149.4
447840,Private Artist???s Apt/ Amazing Location!,242506,Jsun,Brooklyn,Williamsburg,40.71164,-73.965,Entire home/apt,299,2,5,2016-01-09,0.06,3,0,20.95%,236.36
456457,West Village Gem - 2BR,1594083,David,Manhattan,West Village,40.73204,-74.00189,Entire home/apt,315,3,7,2016-08-29,0.08,1,0,20.95%,249.01
461050,Perfect Bedford L Williamsburg Location!,2286224,Sarah,Brooklyn,Williamsburg,40.71613,-73.95837,Entire home/apt,200,3,17,2016-05-12,0.2,1,67,20.95%,158.1
472376,Great Brooklyn Studio/1BR!,1689040,Rich,Brooklyn,Prospect Heights,40.67796,-73.96458,Entire home/apt,115,2,10,2016-05-23,0.17,1,0,20.95%,90.91
473777,Bright Modern Artist's Apartment,2348973,Koren,Brooklyn,Williamsburg,40.71285,-73.94383,Entire home/apt,155,5,10,2017-02-19,0.12,1,0,20.95%,122.53
478949,"Spectacular Lux 1 Bed Apt, Best Location, Terrace!",1130454,Samir,Manhattan,Chelsea,40.74087,-74.00226,Entire home/apt,380,3,16,2017-11-04,0.19,1,0,20.95%,300.39
480549,"Studio 54, Cozy Room For 2",2361715,Ron,Manhattan,Upper West Side,40.77099,-73.9898,Private room,99,3,117,2017-12-11,1.41,1,0,20.95%,78.26
482365,GREAT BRAND NEW 1 BED APT*TIMES SQ,914838,Lior,Manhattan,Hell's Kitchen,40.75636,-73.9939,Entire home/apt,80,30,32,2017-01-31,0.37,7,365,20.95%,63.24
484728,Modern 1br by ocean in Brooklyn,2396741,Alex,Brooklyn,Fort Hamilton,40.61269,-74.03381,Entire home/apt,105,30,3,2017-08-12,0.05,1,30,20.95%,83
486350,Great 2 bedroom apartment in Williamsburg!,2407024,Michael,Brooklyn,Williamsburg,40.70821,-73.95352,Entire home/apt,225,7,13,2016-08-21,0.15,2,0,20.95%,177.86
490989,Cat lovers: 3-story Park Slope Townhouse with cat!,2427385,Andy,Brooklyn,Park Slope,40.67996,-73.98027,Entire home/apt,68,3,2,2017-03-29,0.05,1,0,20.95%,53.75
491942,Renovated Spacious 1BR Upper West,1995093,Carly,Manhattan,Upper West Side,40.79183,-73.97172,Entire home/apt,199,3,24,2016-10-09,0.3,1,0,20.95%,157.31
497370,Carroll Gardens Carriage House,2455462,Elizabeth (And Jeff Too),Brooklyn,Gowanus,40.67828,-73.99136,Private room,80,2,35,2017-05-30,0.41,1,189,20.95%,63.24
502132,Beautiful Downtown Manhattan Share,48599,Anastasia,Manhattan,Chelsea,40.73942,-74.00009,Shared room,50,1,61,2017-05-07,0.71,2,0,20.95%,39.53
504322,Sunny 1BD in Greenwich Village,471928,Mahalia,Manhattan,Greenwich Village,40.72903,-74.00028,Entire home/apt,180,3,18,2017-07-01,0.21,1,0,20.95%,142.29
510454,"Gramercy Pk Area, w Rooftop Gdn!",2515124,Jacqueline,Manhattan,Kips Bay,40.73951,-73.98146,Entire home/apt,145,3,2,2016-06-23,0.02,1,0,20.95%,114.62
511960,Wonderful east village floor thru,2521848,Gay,Manhattan,East Village,40.73044,-73.98683,Entire home/apt,160,1,15,2016-05-09,0.18,1,0,20.95%,126.48
516461,Great studio apt in midtown west!,2542895,Aaron,Manhattan,Chelsea,40.75086,-73.99776,Entire home/apt,130,5,9,2016-08-04,0.1,1,0,20.95%,102.77
521018,1BR Loft in Brooklyn,2562882,Brendan,Brooklyn,Clinton Hill,40.69432,-73.96481,Entire home/apt,160,14,3,2016-04-28,0.04,1,0,20.95%,126.48
546504,Brooklyn Heights 1brm Private Deck,2687009,Jeff,Brooklyn,Brooklyn Heights,40.69271,-73.99365,Entire home/apt,135,4,5,2016-05-16,0.06,1,0,20.95%,106.72
550858,Gorgeous Chelsea loft in the heart of Manhattan,2277487,Henrik,Manhattan,Chelsea,40.74664,-73.99441,Entire home/apt,399,3,15,2017-08-10,0.31,1,0,20.95%,315.41
553516,One Bdrm in Trendy Prospect Hts,2261381,Jennie,Brooklyn,Prospect Heights,40.68052,-73.97254,Entire home/apt,121,2,46,2017-01-02,0.54,1,0,20.95%,95.65
559511,Huge & sunny 1BR apt in Greenpoint,2750389,Jessica,Brooklyn,Greenpoint,40.72697,-73.93921,Entire home/apt,120,5,40,2016-04-22,0.54,1,0,20.95%,94.86
563442,Designer Studio in the HEART of WV!,2770788,Laura,Manhattan,West Village,40.73514,-73.99954,Entire home/apt,197,14,29,2016-12-05,0.36,1,0,20.95%,155.73
564049,Lovely Manhattan Apartment,2773585,Mathilde,Manhattan,Upper West Side,40.80053,-73.96651,Entire home/apt,90,30,23,2017-02-15,0.27,1,0,20.95%,71.15
565814,Bright friendly room in Brooklyn,532819,Heather,Brooklyn,Bedford-Stuyvesant,40.68328,-73.9379,Private room,50,2,1,2016-12-28,0.03,1,0,20.95%,39.53
576227,Bright and Spacious Manhattan,2834840,Sheri,Manhattan,Harlem,40.82446,-73.95274,Private room,700,28,4,2016-10-03,0.05,1,22,20.95%,553.35
576916,"Beautiful, Quiet, Spacious 1BR - UWS by parks",2837527,Alexandra,Manhattan,Upper West Side,40.79785,-73.97202,Entire home/apt,165,4,4,2017-08-22,0.05,1,0,20.95%,130.43
581542,Escape to our Great Beach Getaway,2861854,Jeanmarie,Queens,Arverne,40.59783,-73.80158,Entire home/apt,92,1,55,2017-06-01,0.66,1,8,20.95%,72.73
582372,Comfy New York City Launching Pad!!,733370,Tim,Queens,Astoria,40.77115,-73.92275,Private room,69,40,23,2016-07-01,0.27,1,207,20.95%,54.54
586847,LARGE BEDROOM +PRIVATE BATHROOM,311286,Helene,Brooklyn,Crown Heights,40.67649,-73.9435,Private room,80,2,5,2017-05-08,0.08,4,311,20.95%,63.24
592785,Adorable 1 Bedroom,2932668,Stephanie,Brooklyn,Bedford-Stuyvesant,40.6877,-73.95824,Entire home/apt,140,3,16,2017-04-17,0.27,1,0,20.95%,110.67
592831,Beautiful Bedroom in Brooklyn,2926404,Chris,Brooklyn,Bedford-Stuyvesant,40.69079,-73.95809,Private room,54,2,19,2016-07-15,0.23,1,220,20.95%,42.69
592853,A GEM IN THE CITY,2926593,Valerie,Queens,Ridgewood,40.70001,-73.90698,Entire home/apt,75,2,17,2017-01-01,0.2,1,0,20.95%,59.29
593000,Cozy 1BD Manhattan close Central Pk,2927446,Marie-Jeanne,Manhattan,Upper East Side,40.77247,-73.94665,Entire home/apt,110,7,12,2016-11-18,0.14,1,0,20.95%,86.96
595604,1 Bed Manhattan Apt. Minimum 7 DAYS,2943157,Ana,Manhattan,Washington Heights,40.8347,-73.94857,Private room,60,30,36,2017-01-25,0.44,1,365,20.95%,47.43
614269,Full Apt! L Train On The Corner!!,3047107,Bradley,Brooklyn,Williamsburg,40.70958,-73.93578,Entire home/apt,90,30,15,2017-07-29,0.18,1,0,20.95%,71.15
616585,Great house in Williamsburg ,10889,Bob,Brooklyn,Williamsburg,40.72091,-73.96133,Entire home/apt,250,3,25,2017-11-21,0.3,2,188,20.95%,197.63
638894,"1-BDRM, Good Light, Fire-Escape, AC",1182294,Jonny,Brooklyn,Crown Heights,40.67639,-73.96003,Entire home/apt,110,5,3,2016-01-11,0.04,1,15,20.95%,86.96
646147,Private rooms on a XLarge 3 br 2 baths,352230,Andrea,Manhattan,Harlem,40.82732,-73.95112,Private room,145,3,39,2016-12-08,0.47,1,44,20.95%,114.62
646391,Lofted Bed in a Funky Family Loft!!,147388,Mary,Brooklyn,Bedford-Stuyvesant,40.6951,-73.95605,Shared room,45,4,31,2017-06-01,0.37,1,0,20.95%,35.57
652371,ELEGANT MIDTOWN EAST STUDIO E.52 ST,1475015,Mike,Manhattan,Midtown,40.75743,-73.96939,Entire home/apt,90,30,3,2016-12-31,0.05,52,358,20.95%,71.15
652515,COLUMBUS CIRCLE~FULLY FURNISHED!!!,1475015,Mike,Manhattan,Hell's Kitchen,40.76758,-73.98722,Entire home/apt,85,30,2,2016-08-15,0.04,52,223,20.95%,67.19
661814,1 bedroom apt in heart of Chelsea,3341426,Nika,Manhattan,Chelsea,40.741,-73.99957,Entire home/apt,250,2,10,2016-05-07,0.13,1,0,20.95%,197.63
664047,Lux 2Bed/2.5Bath Central Park Views,836168,Henry,Manhattan,Upper West Side,40.77516,-73.98573,Entire home/apt,2000,30,59,2016-01-28,0.71,11,364,20.95%,1581
667549,My Brooklyn Studio in Ditmas Park,3377231,Lina,Brooklyn,Flatbush,40.64895,-73.95758,Entire home/apt,140,4,15,2017-08-03,0.18,1,365,20.95%,110.67
683084,Midtown West- A COZY ONE bedroom.,3480879,Danny,Manhattan,Chelsea,40.75286,-74.00162,Entire home/apt,199,6,40,2017-10-15,0.5,1,0,20.95%,157.31
683743,Low Cost Room With GREAT Location,1229984,John,Queens,Long Island City,40.7453,-73.95294,Private room,65,20,28,2017-05-20,0.34,3,188,20.95%,51.38
689900,Large Room / Light / Columbia University - UWS,475916,Katherine,Manhattan,Upper West Side,40.80373,-73.9679,Private room,119,1,96,2017-05-18,1.16,1,0,20.95%,94.07
698094,5th Ave Apartment in Midtown!,3569392,Kristen,Manhattan,Midtown,40.76221,-73.97787,Private room,120,4,31,2016-08-26,0.38,1,0,20.95%,94.86
